#Sierra Nevada Half
Date,Target miles,Session,Target elevation,Shoes,Session notes,Course map name,Course map url,Alt course map name (snow risk),Alt course map url
2026-12-21,2.8,Easy trail run,178,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2026-12-22,-,Strength + mobility,-,—,,,,,
2026-12-23,3.4,4x2min hill reps,652,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2026-12-24,3.8,Moderate rolling terrain,356,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2026-12-25,-,Rest,-,—,,,,,
2026-12-26,8,Long run,1400,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,8-Mile High Mountain Route A,https://www.strava.com/routes/3535640625955657322,,
2026-12-27,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2026-12-28,2.8,Easy trail run,222,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2026-12-29,-,Strength + mobility,-,—,,,,,
2026-12-30,3.4,4x2min hill reps,815,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2026-12-31,3.8,Moderate rolling terrain,444,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-01-01,-,Rest,-,—,,,,,
2027-01-02,9,Long run,1720,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,9-Mile High Mountain Route,https://www.strava.com/routes/3535646059574894738,,
2027-01-03,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-01-04,3.1,Easy trail run,267,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-01-05,-,Strength + mobility,-,—,,,,,
2027-01-06,3.7,6x2min hill reps,978,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-01-07,4.2,Moderate rolling terrain,534,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-01-08,-,Rest,-,—,,,,,
2027-01-09,10,Long run,2230,Pegasus Trail 5,"10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing. SNOW RISK (original route touches 2,268m/7,441ft, near ski-base elevation - likely snow-covered Dec-Mar). Alt: Veleta start mile 3.00, turn mile 8.00, 10.00mi/1,864ft.",10-Mile Race-Course Route Rev A,https://www.strava.com/routes/3535646059573469330,10-Mile High Mountain Route,https://www.strava.com/routes/3535620966288012090
2027-01-10,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-01-11,3.4,Easy trail run,311,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-01-12,-,Strength + mobility,-,—,,,,,
2027-01-13,4.1,6x2min hill reps,1141,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-01-14,4.5,Moderate rolling terrain,622,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-01-15,-,Rest,-,—,,,,,
2027-01-16,11,Long run,2610,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,11-Mile Race-Course Route Rev,https://www.strava.com/routes/3535671442238807660,,
2027-01-17,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-01-18,3.4,Easy trail run,356,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-01-19,-,Strength + mobility,-,—,,,,,
2027-01-20,4.1,6x2min hill reps,1305,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-01-21,4.5,Moderate rolling terrain,711,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-01-22,-,Rest,-,—,,,,,
2027-01-23,12,Long run,2990,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,12-Mile Race-Course Route Rev,https://www.strava.com/routes/3535671388178440686,,
2027-01-24,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-01-25,2.8,Easy trail run,222,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-01-26,-,Strength + mobility,-,—,,,,,
2027-01-27,3.4,Easy hill walk/jog,815,Hoka Mach 7,Recovery effort - no hard pushing on climbs; walk any steep sections.,,,,
2027-01-28,3.8,Moderate rolling terrain,444,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-01-29,-,Rest,-,—,,,,,
2027-01-30,8,Long run,1720,Pegasus Trail 5,"10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing. SNOW RISK (original route touches 2,263m/7,424ft). Alt: Veleta start mile 3.00, turn mile 7.01, 8.02mi/1,487ft.",8-Mile Race-Course Route Rev B,https://www.strava.com/routes/3535670212818207214,8-Mile High Mountain Route B,https://www.strava.com/routes/3535671621066499626
2027-01-31,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-02-01,3.6,Easy trail run,311,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-02-02,-,Strength + mobility,-,—,,,,,
2027-02-03,4.4,8x2-3min hill reps,1141,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-02-04,5.0,Moderate rolling terrain,622,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-02-05,-,Rest,-,—,,,,,
2027-02-06,13,Long run,3375,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,13-Mile Race-Course Route Rev,https://www.strava.com/routes/3535671458084353518,,
2027-02-07,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-02-08,2.2,Easy trail run,178,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-02-09,-,Strength + mobility,-,—,,,,,
2027-02-10,2.7,8x2-3min hill reps,652,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-02-11,3.1,Moderate rolling terrain,356,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-02-12,-,Rest,-,—,,,,,
2027-02-13,14,Long run,3760,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,14-Mile Race-Course Route Rev,https://www.strava.com/routes/3535671621065112106,,
2027-02-14,5,Back-to-back hike/run,889,Pegasus Trail 5,"Run on tired legs from yesterday's long run - go by feel, not pace. Good day to practice poles and fueling under fatigue.",,,,
2027-02-15,2.0,Easy trail run,134,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-02-16,-,Strength + mobility,-,—,,,,,
2027-02-17,2.4,8x2-3min hill reps,489,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-02-18,2.6,Moderate rolling terrain,267,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-02-19,-,Rest,-,—,,,,,
2027-02-20,15,Long run,4200,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,15-Mile Race-Course Route A,https://www.strava.com/routes/3535675978643428456,,
2027-02-21,6,Back-to-back hike/run,1185,Pegasus Trail 5,"Run on tired legs from yesterday's long run - go by feel, not pace. Good day to practice poles and fueling under fatigue.",,,,
2027-02-22,2.8,Easy trail run,267,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-02-23,-,Strength + mobility,-,—,,,,,
2027-02-24,3.4,Easy hill walk/jog,978,Hoka Mach 7,Recovery effort - no hard pushing on climbs; walk any steep sections.,,,,
2027-02-25,3.8,Moderate rolling terrain,534,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-02-26,-,Rest,-,—,,,,,
2027-02-27,10,Long run,2040,Pegasus Trail 5,"10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing. SNOW RISK (original route touches 2,187m/7,175ft). Alt: Veleta start mile 3.00, turn mile 8.00, 10.00mi/1,864ft.",10-Mile Race-Course Route Rev B,https://www.strava.com/routes/3535671388182157806,10-Mile High Mountain Route,
2027-02-28,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-03-01,2.5,Easy trail run,44,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-03-02,-,Strength + mobility,-,—,,,,,
2027-03-03,3.1,10x3min hill reps,163,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-03-04,3.4,Moderate rolling terrain,89,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-03-05,-,Rest,-,—,,,,,
2027-03-06,14,Long run,4590,Pegasus Trail 5,"10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing. Race-distance dress rehearsal - test gear, poles, and fueling plan.",14-Mile Race-Course Route,https://www.strava.com/routes/3535681033179387500,,
2027-03-07,6,Back-to-back hike/run,1185,Pegasus Trail 5,"Run on tired legs from yesterday's long run - go by feel, not pace. Good day to practice poles and fueling under fatigue.",,,,
2027-03-08,4.2,Easy trail run,134,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-03-09,-,Strength + mobility,-,—,,,,,
2027-03-10,5.1,6x2min hill reps,489,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-03-11,5.7,Moderate rolling terrain,267,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-03-12,-,Rest,-,—,,,,,
2027-03-13,15,Long run,5220,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing. Peak week - gets you close to full race-day vert; pace it like race day.,15-Mile Race-Course Route B,https://www.strava.com/routes/3535671458085238254,,
2027-03-14,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-03-15,2.8,Easy trail run,23,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-03-16,-,Strength + mobility,-,—,,,,,
2027-03-17,3.4,10x3min hill reps,83,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-03-18,3.8,Moderate rolling terrain,42,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-03-19,-,Rest,-,—,,,,,
2027-03-20,13,Long run,4780,Pegasus Trail 5,10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing.,13-Mile Race-Course Route,https://www.strava.com/routes/3535678019346976872,,
2027-03-21,8,Back-to-back hike/run,1482,Pegasus Trail 5,"Run on tired legs from yesterday's long run - go by feel, not pace. Good day to practice poles and fueling under fatigue.",,,,
2027-03-22,3.9,Easy trail run,267,Pegasus Trail 5,"Easy, conversational pace. Optional 5min walking warmup if legs feel stiff.",,,,
2027-03-23,-,Strength + mobility,-,—,,,,,
2027-03-24,4.8,4x90sec hill strides,978,Hoka Mach 7,"10min easy warmup before first rep. Hard effort on climbs, easy jog/hike down to recover. 10min easy cooldown.",,,,
2027-03-25,5.3,Moderate rolling terrain,534,Pegasus 42,Steady aerobic effort - a bit firmer than easy days.,,,,
2027-03-26,-,Rest,-,—,,,,,
2027-03-27,8,Long run,1590,Pegasus Trail 5,"10min easy warmup. Fuel/hydrate every 30-45min; practice race nutrition and pacing. SNOW RISK (original route touches 2,180m/7,153ft). Alt: Veleta start mile 3.00, turn mile 7.01, 8.02mi/1,487ft.",8-Mile Race-Course Route,https://www.strava.com/routes/3535678019349400680,8-Mile High Mountain Route B,https://www.strava.com/routes/3535671621066499626
2027-03-28,-,Optional flat 2-3mi,-,—,Optional recovery jog - skip if legs are tired. Very easy pace.,,,,
2027-03-29,3.5,Easy flat run,27,Pegasus 42,"Very easy taper effort, flat terrain.",,,,
2027-03-30,-,Rest,-,—,,,,,
2027-03-31,2.5,Shakeout w/ a few strides,27,Pegasus Trail 5,"Easy jog plus 4-6x20sec relaxed strides, full recovery between.",,,,
2027-04-01,-,Rest,-,—,,,,,
2027-04-02,-,Rest,-,—,,,,,
2027-04-03,1.5,Short shakeout,-,Pegasus Trail 5,"Very short and easy - legs loose, zero fatigue.",,,,
2027-04-04,15.5,Sierra Nevada Half,7050,Pegasus Trail 5,"Race day. Start conservatively, hike pitches over ~10-12% grade, fuel every 30-45min, keep HR under ~150bpm on climbs.",Sierra Nevada Half ,https://www.strava.com/routes/3534105404584502054,,
